Year,Production
1961,2.15
1962,2.23
1963,2.23
1964,2.31
1965,2.09
1966,2.02
1967,2.32
1968,2.16
1969,2.26
1970,2.71
1971,2.84
1972,2.17
1973,2.81
1974,2.66
1975,3.22
1976,2.78
1977,2.9
1978,3.02
1979,2.91
1980,2.64
1981,3.62
1982,3.25
1983,3.64
1984,3.85
1985,3.71
1986,3.68
1987,3.82
1988,5.2
1989,5.52
1990,5.57
1991,5.79
1992,6.49
1993,6.3
1994,6.58
1995,6.67
1996,7.24
1997,7.13
1998,7.04
1999,6.4
2000,6.34
2001,6
2002,5.54
2003,6.66
2004,7.1
2005,8.27
2006,7.87
2007,9.32
2008,8.12
2009,8.08
2010,9.12
2011,9.33
2012,9.24
2013,9.2
2014,10.74
2015,10.92
2016,11.17
2017,11.87
2018,12.31
2019,12.46
2020,11.31
